source,target,mor
"1,2,4-benzenetriol",ACVR1,1
"1,2,4-benzenetriol",EGF,1
"1,2,4-benzenetriol",RPL23,1
"1,2,4-benzenetriol",HPCAL1,1
"1,2,4-benzenetriol",GTPBP2,1
"1,2,4-benzenetriol",EREG,1
"1,2,4-benzenetriol",CAPN15,1
"1,2,4-benzenetriol",CD7,1
"1,2,4-benzenetriol",PLGLA,1
"1,2,4-benzenetriol",TNFSF4,1
"1,2,4-benzenetriol",HSPA1A,1
"1,2,4-benzenetriol",NSMF,1
"1,2,4-benzenetriol",TRIM16,1
"1,2,4-benzenetriol",MYL9,1
"1,2,4-benzenetriol",TLN1,1
"1,2,4-benzenetriol",HSPA1B,1
"1,2,4-benzenetriol",CES1,1
"1,2,4-benzenetriol",ATF3,1
"1,2,4-benzenetriol",STXBP1,1
"1,2,4-benzenetriol",ZAK,1
"1,2,4-benzenetriol",CMAS,1
"1,2,4-benzenetriol",WBP2,1
"1,2,4-benzenetriol",SERPINE1,1
"1,2,4-benzenetriol",KEAP1,1
"1,2,4-benzenetriol",AQP9,1
"1,2,4-benzenetriol",PNKP,1
"1,2,4-benzenetriol",TFPI,1
"1,2,4-benzenetriol",FAM169A,1
"1,2,4-benzenetriol",MTA1,1
"1,2,4-benzenetriol",SLAMF8,1
"1,2,4-benzenetriol",SLAMF7,1
"1,2,4-benzenetriol",CYP1B1,1
"1,2,4-benzenetriol",HES1,1
"1,2,4-benzenetriol",SLC12A8,1
"1,2,4-benzenetriol",NFE2,1
"1,2,4-benzenetriol",EGR1,1
"1,2,4-benzenetriol",PINLYP,1
"1,2,4-benzenetriol",EGR2,1
"1,2,4-benzenetriol",JUND,1
"1,2,4-benzenetriol",CHST7,1
"1,2,4-benzenetriol",VPS9D1,1
"1,2,4-benzenetriol",GABARAPL1,1
"1,2,4-benzenetriol",KLF10,1
"1,2,4-benzenetriol",PPBP,1
"1,2,4-benzenetriol",VPS37C,1
"1,2,4-benzenetriol",PRRC2A,1
"1,2,4-benzenetriol",TOPORS,1
"1,2,4-benzenetriol",SQLE,1
"1,2,4-benzenetriol",CYP27A1,1
"1,2,4-benzenetriol",MLLT11,1
"1,2,4-benzenetriol",EHD3,1
"1,2,4-benzenetriol",VNN1,1
"1,2,4-benzenetriol",VNN2,1
"1,2,4-benzenetriol",TDP2,1
"1,2,4-benzenetriol",TAGLN2,1
"1,2,4-benzenetriol",HYOU1,1
"1,2,4-benzenetriol",ATG2A,1
"1,2,4-benzenetriol",HAMP,1
"1,2,4-benzenetriol",SFXN3,1
"1,2,4-benzenetriol",APOBEC3B,1
"1,2,4-benzenetriol",RGL1,1
"1,2,4-benzenetriol",PTP4A1,1
"1,2,4-benzenetriol",OGDH,1
"1,2,4-benzenetriol",CDS2,1
"1,2,4-benzenetriol",CDC42SE1,1
"1,2,4-benzenetriol",SPARC,1
"1,2,4-benzenetriol",CDCA4,1
"1,2,4-benzenetriol",PDGFC,1
"1,2,4-benzenetriol",TXN,1
"1,2,4-benzenetriol",PRF1,1
"1,2,4-benzenetriol",ICAM5,1
"1,2,4-benzenetriol",PLA2G7,1
"1,2,4-benzenetriol",UBE2J1,1
"1,2,4-benzenetriol",MYLK,1
"1,2,4-benzenetriol",LPAR1,1
"1,2,4-benzenetriol",C14ORF169,1
"1,2,4-benzenetriol",PPP3R1,1
"1,2,4-benzenetriol",GNG11,1
"1,2,4-benzenetriol",TDO2,1
"1,2,4-benzenetriol",PRKAR2B,1
"1,2,4-benzenetriol",FDXR,1
"1,2,4-benzenetriol",CDK5RAP2,1
"1,2,4-benzenetriol",PDK4,1
"1,2,4-benzenetriol",IL12B,1
"1,2,4-benzenetriol",FFAR2,1
"1,2,4-benzenetriol",IER5,1
"1,2,4-benzenetriol",RPS11,1
"1,2,4-benzenetriol",DUSP5,1
