source,target,mor
KEGG_ABC_TRANSPORTERS,ABCA1,1
KEGG_GAP_JUNCTION,TUBB2A,1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,TUBB2A,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,BMP2,1
KEGG_TGF_BETA_SIGNALING_PATHWAY,BMP2,1
KEGG_HEDGEHOG_SIGNALING_PATHWAY,BMP2,1
KEGG_BASAL_CELL_CARCINOMA,BMP2,1
KEGG_PATHWAYS_IN_CANCER,BMP2,1
KEGG_APOPTOSIS,CFLAR,1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,RIPK2,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,RIPK2,1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,FUT4,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CCL2,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,CCL2,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CCL2,1
KEGG_TGF_BETA_SIGNALING_PATHWAY,ID2,1
KEGG_LEISHMANIA_INFECTION,IFNGR2,1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,IFNGR2,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,IFNGR2,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,IFNGR2,1
KEGG_MAPK_SIGNALING_PATHWAY,MAP3K8,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,MAP3K8,1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,MAP3K8,1
KEGG_MAPK_SIGNALING_PATHWAY,DUSP2,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,INHBA,1
KEGG_TGF_BETA_SIGNALING_PATHWAY,INHBA,1
KEGG_NOTCH_SIGNALING_PATHWAY,JAG1,1
KEGG_PANCREATIC_CANCER,VEGFA,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,VEGFA,1
KEGG_FOCAL_ADHESION,VEGFA,1
KEGG_MTOR_SIGNALING_PATHWAY,VEGFA,1
KEGG_PATHWAYS_IN_CANCER,VEGFA,1
KEGG_VEGF_SIGNALING_PATHWAY,VEGFA,1
KEGG_BLADDER_CANCER,VEGFA,1
KEGG_RENAL_CELL_CARCINOMA,VEGFA,1
KEGG_VEGF_SIGNALING_PATHWAY,SPHK1,1
KEGG_SPHINGOLIPID_METABOLISM,SPHK1,1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,SPHK1,1
KEGG_CALCIUM_SIGNALING_PATHWAY,SPHK1,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CXCL3,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CXCL3,1
KEGG_MAPK_SIGNALING_PATHWAY,DUSP4,1
KEGG_CELL_ADHESION_MOLECULES_CAMS,ICAM1,1
KEGG_VIRAL_MYOCARDITIS,ICAM1,1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,ICAM1,1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,ICAM1,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,TNFAIP3,1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,PLAU,1
KEGG_PANCREATIC_CANCER,NFKB1,1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,NFKB1,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,NFKB1,1
KEGG_APOPTOSIS,NFKB1,1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,NFKB1,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,NFKB1,1
KEGG_SMALL_CELL_LUNG_CANCER,NFKB1,1
KEGG_MAPK_SIGNALING_PATHWAY,NFKB1,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,NFKB1,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,NFKB1,1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,NFKB1,1
KEGG_LEISHMANIA_INFECTION,NFKB1,1
KEGG_PROSTATE_CANCER,NFKB1,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,NFKB1,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,NFKB1,1
KEGG_ACUTE_MYELOID_LEUKEMIA,NFKB1,1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,NFKB1,1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,NFKB1,1
KEGG_PATHWAYS_IN_CANCER,NFKB1,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CXCL10,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,CXCL10,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,CXCL10,1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,CXCL10,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CXCL10,1
KEGG_MAPK_SIGNALING_PATHWAY,NFKB2,1
KEGG_PATHWAYS_IN_CANCER,NFKB2,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CXCL6,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CXCL6,1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,TNF,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,TNF,1
KEGG_TGF_BETA_SIGNALING_PATHWAY,TNF,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,TNF,1
KEGG_GRAFT_VERSUS_HOST_DISEASE,TNF,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,TNF,1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,TNF,1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,TNF,1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,TNF,1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,TNF,1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,TNF,1
KEGG_ALLOGRAFT_REJECTION,TNF,1
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,TNF,1
KEGG_APOPTOSIS,TNF,1
KEGG_ALZHEIMERS_DISEASE,TNF,1
KEGG_HEMATOPOIETIC_CELL_LINEAGE,TNF,1
KEGG_DILATED_CARDIOMYOPATHY,TNF,1
KEGG_ASTHMA,TNF,1
KEGG_MAPK_SIGNALING_PATHWAY,TNF,1
KEGG_LEISHMANIA_INFECTION,TNF,1
KEGG_TYPE_II_DIABETES_MELLITUS,TNF,1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,TNF,1
KEGG_TYPE_I_DIABETES_MELLITUS,TNF,1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,NFKBIA,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,NFKBIA,1
KEGG_APOPTOSIS,NFKBIA,1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,NFKBIA,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_SMALL_CELL_LUNG_CANCER,NFKBIA,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,NFKBIA,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_LEISHMANIA_INFECTION,NFKBIA,1
KEGG_PROSTATE_CANCER,NFKBIA,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,NFKBIA,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,NFKBIA,1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_PATHWAYS_IN_CANCER,NFKBIA,1
KEGG_ETHER_LIPID_METABOLISM,PLPP3,1
KEGG_GLYCEROLIPID_METABOLISM,PLPP3,1
KEGG_SPHINGOLIPID_METABOLISM,PLPP3,1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,PLPP3,1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,PLPP3,1
KEGG_ALLOGRAFT_REJECTION,IL12B,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,IL12B,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,IL12B,1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,IL12B,1
KEGG_LEISHMANIA_INFECTION,IL12B,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,IL12B,1
KEGG_TYPE_I_DIABETES_MELLITUS,IL12B,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,TNFSF9,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,CCL4,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CCL4,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CCL4,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,CCL4,1
KEGG_ECM_RECEPTOR_INTERACTION,TNC,1
KEGG_FOCAL_ADHESION,TNC,1
KEGG_CELL_CYCLE,MYC,1
KEGG_TGF_BETA_SIGNALING_PATHWAY,MYC,1
KEGG_COLORECTAL_CANCER,MYC,1
KEGG_SMALL_CELL_LUNG_CANCER,MYC,1
KEGG_ENDOMETRIAL_CANCER,MYC,1
KEGG_MAPK_SIGNALING_PATHWAY,MYC,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,MYC,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,MYC,1
KEGG_ACUTE_MYELOID_LEUKEMIA,MYC,1
KEGG_WNT_SIGNALING_PATHWAY,MYC,1
KEGG_THYROID_CANCER,MYC,1
KEGG_BLADDER_CANCER,MYC,1
KEGG_ERBB_SIGNALING_PATHWAY,MYC,1
KEGG_PATHWAYS_IN_CANCER,MYC,1
KEGG_CELL_ADHESION_MOLECULES_CAMS,SDC4,1
KEGG_ECM_RECEPTOR_INTERACTION,SDC4,1
KEGG_MAPK_SIGNALING_PATHWAY,MAP2K3,1
KEGG_GNRH_SIGNALING_PATHWAY,MAP2K3,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,MAP2K3,1
