source,target,mor
REACTOME_HEMOSTASIS,MAFF,1
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,MAFF,1
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,IER3,1
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,IER3,1
REACTOME_MITOTIC_G2_G2_M_PHASES,PHLDA1,1
REACTOME_CELL_CYCLE,PHLDA1,1
REACTOME_CELL_CYCLE_MITOTIC,PHLDA1,1
REACTOME_NEUTROPHIL_DEGRANULATION,PTX3,1
REACTOME_INNATE_IMMUNE_SYSTEM,PTX3,1
REACTOME_MEMBRANE_TRAFFICKING,DENND5A,1
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS,DENND5A,1
REACTOME_VESICLE_MEDIATED_TRANSPORT,DENND5A,1
REACTOME_RAB_REGULATION_OF_TRAFFICKING,DENND5A,1
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,ABCA1,1
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,ABCA1,1
REACTOME_ABC_TRANSPORTER_DISORDERS,ABCA1,1
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,ABCA1,1
REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX,ABCA1,1
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,ABCA1,1
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,ABCA1,1
REACTOME_HDL_ASSEMBLY,ABCA1,1
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,ABCA1,1
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY,ABCA1,1
REACTOME_METABOLISM_OF_LIPIDS,ABCA1,1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,GPR183,1
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,GPR183,1
REACTOME_SIGNALING_BY_GPCR,GPR183,1
REACTOME_GPCR_LIGAND_BINDING,GPR183,1
REACTOME_AGGREPHAGY,TUBB2A,1
REACTOME_RECYCLING_PATHWAY_OF_L1,TUBB2A,1
REACTOME_MITOTIC_G2_G2_M_PHASES,TUBB2A,1
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,TUBB2A,1
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,TUBB2A,1
REACTOME_MEMBRANE_TRAFFICKING,TUBB2A,1
REACTOME_NEURONAL_SYSTEM,TUBB2A,1
REACTOME_HCMV_EARLY_EVENTS,TUBB2A,1
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,TUBB2A,1
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,TUBB2A,1
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,TUBB2A,1
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,TUBB2A,1
REACTOME_RHO_GTPASE_EFFECTORS,TUBB2A,1
